Valor glucosa mg/dl,mmol/L,17 bytes recibidos como notifiacion,Bits,Timestamp y informacion,Info sensor,bytes adicionales recibidos en ese tiempo,HardwareName
131,7.27,52-52-DC-5D-9D-1F-00-FD-92-C6-11-68-6C-74-A8-DA-0A,0101001001010010110111000101110110011101000111110000000011111101100100101100011000010001011010000110110001110100101010001101101000001010,11:58:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
132,7.32,52-52-DC-A7-9C-1F-07-3D-BD-C6-1B-68-6C-74-A8-8B-95,0101001001010010110111001010011110011100000111110000011100111101101111011100011000011011011010000110110001110100101010001000101110010101,11:59:29,LinX-222222XK45 (E4:06:BF:D9:51:39),(0x) 57-AB-D9-06-D0,GX-01S
134,7.43,52-52-DC-A7-9F-1F-05-FD-B6-C6-1B-68-6C-74-A8-68-5E,0101001001010010110111001010011110011111000111110000010111111101101101101100011000011011011010000110110001110100101010000110100001011110,12:00:29,LinX-222222XK45 (E4:06:BF:D9:51:39),(0x) 71-53-DD-A6-38-4E-25-2C-C0-71 y (0x) 77-53-41-F7-3B-4B-63-76-0F-38-F5-83-21-32-59-10-99-8D-1E-CA-E2-3D-54-73-1B-0E-34-5F-CB-14-3E-08-5A-8A-70-CC-88-12-D7-F6-2A-D2-9E-73-85-62-B0-BF-5B-5E-DC-7C-07-5A-D1-BD,GX-01S
133,7.38,52-52-DC-59-9E-1F-06-FD-AC-C6-1B-68-6C-74-A8-D7-D1,0101001001010010110111000101100110011110000111110000011011111101101011001100011000011011011010000110110001110100101010001101011111010001,12:01:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
132,7.32,52-52-DC-58-91-1F-07-FD-93-C6-11-68-6C-74-A8-78-2A,0101001001010010110111000101100010010001000111110000011111111101100100111100011000010001011010000110110001110100101010000111100000101010,12:02:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
131,7.27,52-52-DC-5B-90-1F-00-3D-90-C6-33-68-6C-74-A8-E1-D5,0101001001010010110111000101101110010000000111110000000000111101100100001100011000110011011010000110110001110100101010001110000111010101,12:03:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
129,7.15,52-52-DC-5D-93-1F-02-FD-98-C6-27-68-6C-74-A8-E2-D4,0101001001010010110111000101110110010011000111110000001011111101100110001100011000100111011010000110110001110100101010001110001011010100,12:04:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
128,7.1,52-52-DC-5D-92-1F-03-FD-84-C6-3D-68-6C-74-A8-6C-E9,0101001001010010110111000101110110010010000111110000001111111101100001001100011000111101011010000110110001110100101010000110110011101001,12:05:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
129,7.15,52-52-DC-A7-95-1F-02-FD-AA-C6-33-68-6C-74-A8-77-93,0101001001010010110111001010011110010101000111110000001011111101101010101100011000110011011010000110110001110100101010000111011110010011,12:06:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
127,7.04,52-52-DC-5D-94-1F-FC-3D-FA-C6-49-68-6C-74-A8-9D-FD,0101001001010010110111000101110110010100000111111111110000111101111110101100011101001001011010000110110001110100101010001001110111111101,12:07:29,LinX-222222XK45 (E4:06:BF:D9:51:39),(0x) 57-A9-D9-64-B6,GX-01S
125,6.93,52-52-DC-5E-97-1F-FE-FD-E0-C6-33-68-6C-74-A8-D3-F4,0101001001010010110111000101111010010111000111111111111011111101111000001100011000110011011010000110110001110100101010001101001111110100,12:08:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
125,6.93,52-52-DC-5D-96-1F-FE-FD-F4-C6-27-68-6C-74-A8-E4-D3,0101001001010010110111000101110110010110000111111111111011111101111101001100011000100111011010000110110001110100101010001110010011010011,12:09:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
126,6.99,52-52-DC-A6-89-1F-FD-FD-8C-C6-3D-68-6C-74-A8-B0-E1,0101001001010010110111001010011010001001000111111111110111111101100011001100011000111101011010000110110001110100101010001011000011100001,12:10:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
129,7.15,52-52-DC-A4-88-1F-02-3D-93-C6-33-68-6F-74-A8-15-1E,0101001001010010110111001010010010001000000111110000001000111101100100111100011000110011011010000110111101110100101010000001010100011110,12:11:29,LinX-222222XK45 (E4:06:BF:D9:51:39),(0x) 57-57-DA-C9-B6,GX-01S
127,7.04,52-52-DC-58-8B-1F-FC-FD-EB-C6-49-68-6F-74-A8-29-44,0101001001010010110111000101100010001011000111111111110011111101111010111100011101001001011010000110111101110100101010000010100101000100,12:12:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
125,6.93,52-52-DC-5D-8A-1F-FE-FD-C4-C6-3D-68-6F-74-A8-39-30,0101001001010010110111000101110110001010000111111111111011111101110001001100011000111101011010000110111101110100101010000011100100110000,12:13:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
123,6.82,52-52-DC-5D-8D-1F-F8-FD-D4-C6-27-68-6C-74-A8-D3-8D,0101001001010010110111000101110110001101000111111111100011111101110101001100011000100111011010000110110001110100101010001101001110001101,12:14:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
122,6.77,52-52-DC-5C-8C-1F-F9-3D-DF-C6-27-68-6C-74-A8-B2-D9,0101001001010010110111000101110010001100000111111111100100111101110111111100011000100111011010000110110001110100101010001011001011011001,12:15:29,LinX-222222XK45 (E4:06:BF:D9:51:39),(0x) 57-5E-DA-51-0C,GX-01S
120,6.66,52-52-DC-5F-8F-1F-FB-FD-C4-C6-3D-68-6C-74-A8-41-74,0101001001010010110111000101111110001111000111111111101111111101110001001100011000111101011010000110110001110100101010000100000101110100,12:16:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
119,6.6,52-52-DC-5E-8E-1F-F4-FD-CC-C6-27-68-6C-74-A8-70-7F,0101001001010010110111000101111010001110000111111111010011111101110011001100011000100111011010000110110001110100101010000111000001111111,12:17:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
120,6.66,52-52-DC-A6-81-1F-FB-FD-EC-C6-27-68-6C-74-A8-58-02,0101001001010010110111001010011010000001000111111111101111111101111011001100011000100111011010000110110001110100101010000101100000000010,12:18:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
123,6.82,52-52-DC-A4-80-1F-F8-3D-FD-C6-3D-68-6C-74-A8-00-35,0101001001010010110111001010010010000000000111111111100000111101111111011100011000111101011010000110110001110100101010000000000000110101,12:19:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
